po_number,planning_date,po_line_low_sts,days_past_due
1724841,2024-11-13,50,38
1725513,2024-11-13,50,38
1725513,2024-11-13,50,38
1725513,2024-11-13,50,38
1724952,2024-11-13,50,38
1725514,2024-11-13,50,38
1724952,2024-11-13,50,38
1724804,2024-11-13,50,38
1724947,2024-11-13,50,38
1724806,2024-11-13,50,38
1725516,2024-11-13,50,38
1725947,2024-11-13,50,38
1725947,2024-11-13,50,38
1725947,2024-11-13,50,38
1725947,2024-11-13,50,38
1725493,2024-11-13,50,38
1724947,2024-11-13,50,38
1725512,2024-11-13,50,38
1724806,2024-11-13,50,38
1725492,2024-11-13,50,38
1725492,2024-11-13,50,38
1725491,2024-11-13,50,38
1725490,2024-11-13,50,38
1725490,2024-11-13,50,38
1725489,2024-11-13,50,38
1725489,2024-11-13,50,38
1725947,2024-11-13,50,38
1724949,2024-11-13,50,38
1725350,2024-11-13,50,38
1725765,2024-11-13,50,38
1724982,2024-11-13,50,38
1724982,2024-11-13,50,38
1724844,2024-11-13,50,38
1724952,2024-11-13,50,38
1724982,2024-11-13,50,38
1724952,2024-11-13,50,38
1724982,2024-11-13,50,38
1724952,2024-11-13,50,38
1723941,2024-11-13,50,38
1724952,2024-11-13,50,38
1724952,2024-11-13,50,38
1724807,2024-11-13,50,38
1724982,2024-11-13,50,38
1721976,2024-11-15,50,36
1721976,2024-11-15,50,36
1725350,2024-11-15,50,36
1721976,2024-11-15,50,36
1721976,2024-11-15,50,36
1725350,2024-11-15,50,36
1721976,2024-11-15,50,36
1721976,2024-11-15,50,36
1721976,2024-11-15,50,36
1721976,2024-11-15,50,36
1721976,2024-11-15,50,36
1721976,2024-11-15,50,36
1725350,2024-11-15,50,36
1721976,2024-11-15,50,36
1721976,2024-11-15,50,36
1721976,2024-11-15,50,36
1721976,2024-11-15,50,36
1721976,2024-11-15,50,36
1721976,2024-11-15,50,36
1721976,2024-11-15,50,36
1721976,2024-11-15,50,36
1721976,2024-11-15,50,36
1721976,2024-11-15,50,36
1721976,2024-11-15,50,36
1721976,2024-11-15,50,36
1721976,2024-11-15,50,36
1721976,2024-11-15,50,36
1721976,2024-11-15,50,36
1721976,2024-11-15,50,36
1721976,2024-11-15,50,36
1721976,2024-11-15,50,36
1721976,2024-11-15,50,36
1721976,2024-11-15,50,36
1721976,2024-11-15,50,36
1727231,2024-11-15,35,36
1721976,2024-11-15,50,36
1721976,2024-11-15,50,36
1721976,2024-11-15,50,36
1721976,2024-11-15,50,36
1721976,2024-11-15,50,36
1721976,2024-11-15,50,36
1721976,2024-11-15,50,36
1721976,2024-11-15,50,36
1721976,2024-11-15,50,36
1721976,2024-11-15,50,36
1721976,2024-11-15,50,36
1721976,2024-11-15,50,36
1721976,2024-11-15,50,36
1721976,2024-11-15,50,36
1721976,2024-11-15,50,36
1721976,2024-11-15,50,36
1721976,2024-11-15,50,36
1721976,2024-11-15,50,36
1725350,2024-11-15,50,36
1721976,2024-11-15,50,36
1721976,2024-11-15,50,36
1721976,2024-11-15,50,36
1727231,2024-11-15,35,36
1725931,2024-11-15,20,36
1725765,2024-11-18,50,33
1725761,2024-11-18,50,33
1725537,2024-11-18,50,33
1725760,2024-11-18,50,33
1725763,2024-11-18,50,33
1725765,2024-11-18,50,33
1725765,2024-11-18,50,33
1725765,2024-11-18,50,33
1725760,2024-11-18,50,33
1725760,2024-11-18,50,33
1725772,2024-11-18,50,33
1725772,2024-11-18,50,33
1725760,2024-11-18,50,33
1727281,2024-11-18,20,33
1725761,2024-11-18,50,33
1725764,2024-11-18,50,33
1725763,2024-11-18,50,33
1725772,2024-11-18,50,33
1725764,2024-11-18,50,33
1725760,2024-11-18,50,33
1725760,2024-11-18,50,33
1725760,2024-11-18,50,33
1725760,2024-11-18,50,33
1725772,2024-11-18,50,33
1725760,2024-11-18,50,33
1725537,2024-11-18,50,33
1725537,2024-11-18,50,33
1725537,2024-11-18,50,33
1727281,2024-11-18,20,33
1725760,2024-11-18,50,33
1725733,2024-11-19,35,32
1725731,2024-11-19,35,32
1725725,2024-11-19,35,32
1725733,2024-11-19,35,32
1725726,2024-11-19,35,32
1725731,2024-11-19,35,32
1725731,2024-11-19,35,32
1725725,2024-11-19,35,32
1725731,2024-11-19,35,32
1725731,2024-11-19,35,32
1725731,2024-11-19,35,32
1725731,2024-11-19,35,32
1725731,2024-11-19,35,32
1725726,2024-11-19,35,32
1725776,2024-11-21,50,30
1725779,2024-11-21,50,30
1725776,2024-11-21,50,30
1725747,2024-11-22,50,29
1725749,2024-11-22,50,29
1725750,2024-11-22,50,29
1725750,2024-11-22,50,29
1725748,2024-11-22,50,29
1725748,2024-11-22,50,29
1725784,2024-11-22,50,29
1722319,2024-11-22,50,29
1722319,2024-11-22,50,29
1722319,2024-11-22,50,29
1725750,2024-11-22,50,29
1722319,2024-11-22,50,29
1722319,2024-11-22,50,29
1725748,2024-11-22,50,29
1722319,2024-11-22,50,29
1722319,2024-11-22,50,29
1725748,2024-11-22,50,29
1725748,2024-11-22,50,29
1725749,2024-11-22,50,29
1725747,2024-11-22,50,29
1725750,2024-11-22,50,29
1725750,2024-11-22,50,29
1725784,2024-11-22,50,29
1722319,2024-11-22,50,29
1725748,2024-11-22,50,29
1725747,2024-11-22,50,29
1725750,2024-11-22,50,29
1725749,2024-11-22,50,29
1725721,2024-11-22,35,29
1725784,2024-11-22,50,29
1726169,2024-11-25,35,26
1727644,2024-11-25,50,26
1727352,2024-11-25,20,26
1726169,2024-11-25,35,26
1726169,2024-11-25,35,26
1727644,2024-11-25,50,26
1727352,2024-11-25,20,26
1727352,2024-11-25,20,26
1726169,2024-11-25,35,26
1727352,2024-11-25,20,26
1728315,2024-11-26,20,25
1727449,2024-11-29,50,22
1722490,2024-11-29,50,22
1726059,2024-11-29,20,22
1722479,2024-11-29,20,22
1727449,2024-11-29,50,22
1727634,2024-11-29,20,22
1726287,2024-11-29,20,22
1727449,2024-11-29,50,22
1722490,2024-11-29,50,22
1727449,2024-11-29,50,22
1726065,2024-11-29,20,22
1727356,2024-11-29,20,22
1727640,2024-11-29,20,22
1727612,2024-11-29,20,22
1727449,2024-11-29,50,22
1722490,2024-11-29,50,22
1727438,2024-11-29,20,22
1728213,2024-11-29,20,22
1726287,2024-11-29,20,22
1726059,2024-11-29,20,22
1727634,2024-11-29,20,22
1727449,2024-11-29,50,22
1727449,2024-11-29,50,22
1728213,2024-11-29,20,22
1727449,2024-11-29,50,22
1727449,2024-11-29,50,22
1727449,2024-11-29,50,22
1727356,2024-11-29,20,22
1727449,2024-11-29,50,22
1727449,2024-11-29,50,22
1726065,2024-11-29,20,22
1727438,2024-11-29,20,22
1725539,2024-11-29,20,22
1726012,2024-11-29,20,22
1727449,2024-11-29,50,22
1722490,2024-11-29,50,22
1727449,2024-11-29,50,22
1727449,2024-11-29,50,22
1727965,2024-11-29,20,22
1722490,2024-11-29,50,22
1722490,2024-11-29,50,22
1727634,2024-11-29,20,22
1727634,2024-11-29,20,22
1727965,2024-11-29,20,22
1722490,2024-11-29,50,22
1727449,2024-11-29,50,22
1727449,2024-11-29,50,22
1727612,2024-11-29,20,22
1727449,2024-11-29,50,22
1722490,2024-11-29,50,22
1727640,2024-11-29,20,22
1727449,2024-11-29,50,22
1727449,2024-11-29,50,22
1726012,2024-11-29,20,22
1725539,2024-11-29,20,22
1727361,2024-12-02,50,19
1725518,2024-12-02,50,19
1725742,2024-12-02,50,19
1725518,2024-12-02,50,19
1725746,2024-12-02,50,19
1725746,2024-12-02,50,19
1725746,2024-12-02,50,19
1726177,2024-12-02,50,19
1725746,2024-12-02,50,19
1722161,2024-12-02,50,19
1725518,2024-12-02,50,19
1725947,2024-12-02,50,19
1725518,2024-12-02,50,19
1725947,2024-12-02,50,19
1725745,2024-12-02,50,19
1726172,2024-12-02,50,19
1725741,2024-12-02,50,19
1725518,2024-12-02,50,19
1722161,2024-12-02,50,19
1727361,2024-12-02,50,19
1727361,2024-12-02,50,19
1725746,2024-12-02,50,19
1725746,2024-12-02,50,19
1726177,2024-12-02,50,19
1725746,2024-12-02,50,19
1725518,2024-12-02,50,19
1727361,2024-12-02,50,19
1725518,2024-12-02,50,19
1725518,2024-12-02,50,19
1725518,2024-12-02,50,19
1725745,2024-12-02,50,19
1725518,2024-12-02,50,19
1725518,2024-12-02,50,19
1725741,2024-12-02,50,19
1726172,2024-12-02,50,19
1725746,2024-12-02,50,19
1725518,2024-12-02,50,19
1725350,2024-12-02,50,19
1722161,2024-12-02,50,19
1727353,2024-12-02,20,19
1725947,2024-12-02,50,19
1726172,2024-12-02,50,19
1727353,2024-12-02,20,19
1727634,2024-12-02,20,19
1725741,2024-12-02,50,19
1725518,2024-12-02,50,19
1725518,2024-12-02,50,19
1725745,2024-12-02,50,19
1725518,2024-12-02,50,19
1727353,2024-12-02,20,19
1725518,2024-12-02,50,19
1725518,2024-12-02,50,19
1725518,2024-12-02,50,19
1725746,2024-12-02,50,19
1725746,2024-12-02,50,19
1725518,2024-12-02,50,19
1727353,2024-12-02,20,19
1725746,2024-12-02,50,19
1726177,2024-12-02,50,19
1725746,2024-12-02,50,19
1725742,2024-12-02,50,19
1725724,2024-12-03,50,18
1725509,2024-12-03,50,18
1725509,2024-12-03,50,18
1725504,2024-12-03,50,18
1726477,2024-12-03,50,18
1726150,2024-12-03,50,18
1725740,2024-12-03,50,18
1726477,2024-12-03,50,18
1725494,2024-12-03,50,18
1727712,2024-12-03,50,18
1725728,2024-12-03,50,18
1725736,2024-12-03,50,18
1725728,2024-12-03,50,18
1726477,2024-12-03,50,18
1727232,2024-12-03,50,18
1725509,2024-12-03,50,18
1725729,2024-12-03,50,18
1726145,2024-12-03,50,18
1725723,2024-12-03,50,18
1725734,2024-12-03,50,18
1725723,2024-12-03,50,18
1725722,2024-12-03,50,18
1725722,2024-12-03,50,18
1725727,2024-12-03,50,18
1726066,2024-12-03,20,18
1725727,2024-12-03,50,18
1726145,2024-12-03,50,18
1725734,2024-12-03,50,18
1727988,2024-12-06,20,15
1727998,2024-12-06,50,15
1727794,2024-12-06,20,15
1727576,2024-12-06,20,15
1727988,2024-12-06,20,15
1727988,2024-12-06,20,15
1727988,2024-12-06,20,15
1727998,2024-12-06,50,15
1727988,2024-12-06,20,15
1727576,2024-12-06,20,15
1727576,2024-12-06,20,15
1728740,2024-12-06,20,15
1727998,2024-12-06,50,15
1727998,2024-12-06,50,15
1727576,2024-12-06,20,15
1727988,2024-12-06,20,15
1727998,2024-12-06,50,15
1728015,2024-12-06,20,15
1727988,2024-12-06,20,15
1727998,2024-12-06,50,15
1727576,2024-12-06,20,15
1727988,2024-12-06,20,15
1727988,2024-12-06,20,15
1727998,2024-12-06,50,15
1727998,2024-12-06,50,15
1727281,2024-12-06,20,15
1727998,2024-12-06,50,15
1728834,2024-12-06,20,15
1727988,2024-12-06,20,15
1727998,2024-12-06,50,15
1727998,2024-12-06,50,15
1727998,2024-12-06,50,15
1727576,2024-12-06,20,15
1727204,2024-12-06,20,15
1727988,2024-12-06,20,15
1727988,2024-12-06,20,15
1728836,2024-12-06,20,15
1727988,2024-12-06,20,15
1727639,2024-12-06,50,15
1727204,2024-12-06,20,15
1727988,2024-12-06,20,15
1727990,2024-12-06,20,15
1727988,2024-12-06,20,15
1727448,2024-12-06,20,15
1727988,2024-12-06,20,15
1728834,2024-12-06,20,15
1727990,2024-12-06,20,15
1727990,2024-12-06,20,15
1727990,2024-12-06,20,15
1727448,2024-12-06,20,15
1727576,2024-12-06,20,15
1727988,2024-12-06,20,15
1727988,2024-12-06,20,15
1727576,2024-12-06,20,15
1727204,2024-12-06,20,15
1727576,2024-12-06,20,15
1727281,2024-12-06,20,15
1727576,2024-12-06,20,15
1727204,2024-12-06,20,15
1727990,2024-12-06,20,15
1727448,2024-12-06,50,15
1727576,2024-12-06,50,15
1727204,2024-12-06,20,15
1727204,2024-12-06,50,15
1727448,2024-12-06,50,15
1727576,2024-12-06,50,15
1727204,2024-12-06,50,15
1727448,2024-12-06,50,15
1727576,2024-12-06,50,15
1727576,2024-12-06,50,15
1727576,2024-12-06,50,15
1727576,2024-12-06,50,15
1727576,2024-12-06,50,15
1727576,2024-12-06,50,15
1727576,2024-12-06,50,15
1727794,2024-12-06,20,15
1727204,2024-12-06,50,15
1728015,2024-12-06,20,15
1727204,2024-12-06,50,15
1727576,2024-12-06,50,15
1727576,2024-12-06,50,15
1727576,2024-12-06,50,15
1727576,2024-12-06,50,15
1727576,2024-12-06,50,15
1727576,2024-12-06,50,15
1727576,2024-12-06,50,15
1727868,2024-12-06,20,15
1726007,2024-12-06,50,15
1727204,2024-12-06,50,15
1727576,2024-12-06,20,15
1727448,2024-12-06,20,15
1727576,2024-12-06,20,15
1727576,2024-12-06,20,15
1727576,2024-12-06,20,15
1728858,2024-12-06,20,15
1728858,2024-12-06,20,15
1727990,2024-12-06,20,15
1727990,2024-12-06,20,15
1727868,2024-12-06,20,15
1728858,2024-12-06,20,15
1727576,2024-12-06,20,15
1727576,2024-12-06,20,15
1728858,2024-12-06,20,15
1727990,2024-12-06,20,15
1727990,2024-12-06,20,15
1727990,2024-12-06,20,15
1725743,2024-12-09,50,12
1726182,2024-12-09,50,12
1725743,2024-12-09,50,12
1727354,2024-12-09,50,12
1726375,2024-12-09,50,12
1727354,2024-12-09,50,12
1725746,2024-12-09,50,12
1726492,2024-12-09,50,12
1727647,2024-12-09,20,12
1727999,2024-12-09,50,12
1726182,2024-12-09,50,12
1728182,2024-12-09,50,12
1726182,2024-12-09,50,12
1727252,2024-12-09,20,12
1727999,2024-12-09,50,12
1727999,2024-12-09,50,12
1725743,2024-12-09,50,12
1727999,2024-12-09,50,12
1725745,2024-12-09,50,12
1726182,2024-12-09,50,12
1728008,2024-12-09,20,12
1727999,2024-12-09,50,12
1728008,2024-12-09,20,12
1727999,2024-12-09,50,12
1728008,2024-12-09,20,12
1728008,2024-12-09,20,12
1726375,2024-12-09,50,12
1726492,2024-12-09,50,12
1726182,2024-12-09,50,12
1728008,2024-12-09,20,12
1726172,2024-12-09,50,12
1726173,2024-12-09,50,12
1726173,2024-12-09,50,12
1725744,2024-12-09,50,12
1726177,2024-12-09,50,12
1727999,2024-12-09,20,12
1727999,2024-12-09,50,12
1728008,2024-12-09,20,12
1727354,2024-12-09,50,12
1726182,2024-12-09,50,12
1727638,2024-12-09,50,12
1727633,2024-12-09,20,12
1728008,2024-12-09,20,12
1727996,2024-12-09,50,12
1726172,2024-12-09,50,12
1727995,2024-12-09,50,12
1728008,2024-12-09,20,12
1727354,2024-12-09,50,12
1728008,2024-12-09,20,12
1728008,2024-12-09,20,12
1728008,2024-12-09,20,12
1728008,2024-12-09,20,12
1727638,2024-12-09,50,12
1728008,2024-12-09,20,12
1728008,2024-12-09,20,12
1728008,2024-12-09,20,12
1728008,2024-12-09,20,12
1727354,2024-12-09,50,12
1728008,2024-12-09,20,12
1725745,2024-12-09,50,12
1727354,2024-12-09,50,12
1727354,2024-12-09,50,12
1727354,2024-12-09,50,12
1725743,2024-12-09,50,12
1725743,2024-12-09,50,12
1725743,2024-12-09,50,12
1728189,2024-12-09,50,12
1725744,2024-12-09,50,12
1726173,2024-12-09,50,12
1727637,2024-12-09,50,12
1728008,2024-12-09,20,12
1727995,2024-12-09,50,12
1728008,2024-12-09,20,12
1727647,2024-12-09,20,12
1728514,2024-12-09,50,12
1727252,2024-12-09,20,12
1728008,2024-12-09,20,12
1728008,2024-12-09,20,12
1726177,2024-12-09,50,12
1727995,2024-12-09,50,12
1727996,2024-12-09,50,12
1725746,2024-12-09,50,12
1727637,2024-12-09,50,12
1728008,2024-12-09,20,12
1728008,2024-12-09,20,12
1726173,2024-12-09,50,12
1728008,2024-12-09,20,12
1728008,2024-12-09,20,12
1727633,2024-12-09,20,12
1728008,2024-12-09,20,12
1728008,2024-12-09,20,12
1728008,2024-12-09,20,12
1728008,2024-12-09,20,12
1727995,2024-12-09,50,12
1728008,2024-12-09,20,12
1728008,2024-12-09,20,12
1728008,2024-12-09,20,12
1727381,2024-12-10,35,11
1727381,2024-12-10,35,11
1727381,2024-12-10,35,11
1727381,2024-12-10,35,11
1727224,2024-12-10,35,11
1725773,2024-12-11,35,10
1727685,2024-12-11,35,10
1727685,2024-12-11,35,10
1727685,2024-12-11,35,10
1727685,2024-12-11,35,10
1725746,2024-12-11,50,10
1725773,2024-12-11,35,10
1727685,2024-12-11,35,10
1727685,2024-12-11,35,10
1725746,2024-12-11,50,10
1727685,2024-12-11,35,10
1725773,2024-12-11,35,10
1727685,2024-12-11,35,10
1727685,2024-12-11,35,10
1725773,2024-12-11,35,10
1727685,2024-12-11,35,10
1725746,2024-12-11,50,10
1727685,2024-12-11,35,10
1727685,2024-12-11,35,10
1726193,2024-12-13,50,8
1726192,2024-12-13,50,8
1726192,2024-12-13,50,8
1726192,2024-12-13,50,8
